Raf,Mek,Plcg,PIP2,PIP3,Erk,Akt,PKA,PKC,P38,Jnk
2690.2,1618.7,3035.6,6114.5,1499.2,1499.2,6395.6,3340.7,1241.9,2790.7,1248.0
1245.7,2194.2,391.3,454.9,1153.1,804.1,2324.8,874.4,584.1,5840.2,1509.3
1908.4,578.4,1169.7,1975.8,720.0,2442.0,1118.2,1431.7,1117.3,7957.1,1788.6
775.8,3491.3,680.8,2136.9,377.0,624.8,2116.4,3264.2,2073.7,1648.3,1421.0
554.0,1016.5,1250.7,4212.0,2380.1,441.2,2343.2,1328.7,1052.0,2949.4,4124.9
3808.6,923.9,1411.8,2356.7,3945.9,1232.3,1558.5,746.2,694.4,3463.5,5350.8
1706.8,4035.3,2414.6,1079.1,2414.2,6188.4,1757.0,6321.5,222.3,3489.5,1938.4
1423.4,1945.8,368.7,1516.7,2405.9,5897.7,1194.4,946.9,1210.3,3760.6,2352.0
1183.5,2726.1,1954.1,3924.2,1031.1,1391.1,1321.2,560.7,2291.3,2228.0,1815.5
1498.7,582.7,1291.4,1374.5,951.6,1589.2,2498.0,8175.9,2079.0,2221.7,1703.5
389.5,1770.1,1897.3,12972.6,1550.2,2301.3,1758.5,709.9,4510.9,3299.6,3404.4
873.5,5553.8,589.1,2891.4,10429.2,818.6,1149.4,1958.1,1208.6,522.9,1910.0
772.9,2640.9,866.5,6247.6,966.2,1397.4,3466.2,675.4,2168.9,5144.7,499.7
2095.8,2225.9,3379.4,672.1,628.7,2745.0,2292.9,2209.2,2385.5,1049.4,2177.2
2285.8,1021.0,8043.5,2641.4,697.1,3057.2,829.0,3393.7,4568.2,937.7,3907.7
2515.5,3490.0,8245.6,1485.8,989.3,887.5,941.4,1699.9,2375.4,2256.0,3504.3
1826.9,5783.9,1463.0,15932.8,2982.5,910.8,767.6,2659.7,1512.1,3200.9,2640.1
1705.7,918.3,538.1,1265.0,3587.2,2145.8,667.4,2076.7,2460.8,891.5,2044.6
1894.2,724.6,2407.2,2831.7,4300.3,4200.8,600.6,853.8,2729.9,2727.2,2729.9
39426.2,2854.7,4484.8,3878.5,3044.6,1405.0,3318.2,974.3,1496.0,1226.2,1930.4
11518.7,405.9,3130.7,497.6,1239.5,4320.6,1903.5,763.4,1020.2,3114.0,1008.0
2149.9,1875.2,1073.5,10048.3,3002.3,357.8,2098.9,1064.8,3575.8,959.1,1649.5
2708.1,3614.1,692.1,1383.5,1236.5,1072.1,7423.2,2499.8,659.4,3768.0,9874.6
4129.8,536.2,1227.4,4981.7,1026.5,2578.7,3360.0,861.3,1724.0,135.2,796.7
1477.3,666.3,6673.7,575.9,1271.5,2007.4,5727.4,573.2,4584.9,1822.9,824.5
2616.7,2120.2,1118.6,1911.9,1328.4,1979.9,3070.8,6430.5,671.7,9960.9,379.3
1601.3,2894.7,2263.8,1098.7,1530.7,1218.8,1128.3,3567.7,2405.7,1038.6,3713.3
2311.9,3464.4,2992.0,931.5,1155.0,3287.3,2946.3,1778.1,1986.0,5024.8,1126.4
2800.8,1538.0,1519.1,4354.7,3499.4,3466.2,5137.8,1838.7,3119.9,1410.6,2343.3
1629.3,1953.9,2910.6,939.6,9642.3,808.5,684.5,4566.4,3406.1,2978.9,2988.9
1790.4,882.0,1921.1,1051.8,3944.6,1607.4,934.1,1398.1,2515.8,1151.7,936.6
2197.2,2199.5,1205.3,1240.4,2176.9,567.7,586.4,1017.6,1524.2,2318.6,5885.7
3590.8,1590.9,1780.7,810.8,1781.5,1435.2,2340.6,932.8,2739.4,6162.2,1657.4
2493.3,3140.4,1311.6,2163.0,1826.3,1955.0,974.2,1843.8,2693.0,5772.8,3894.9
10122.8,978.6,3633.2,2093.7,10423.8,947.1,923.5,1119.3,330.6,1187.3,985.1
2039.2,2376.5,8110.7,3867.4,1139.7,881.2,2679.9,628.8,7825.7,4645.0,1242.2
459.2,5340.6,1649.7,4867.1,504.9,1119.3,1815.6,1877.3,1261.4,2975.8,769.6
1613.4,1990.7,2728.6,3194.8,735.3,529.9,5024.8,2358.7,993.5,6253.7,1983.3
4644.5,1908.4,9401.3,7363.4,1481.5,3933.4,3029.9,5404.1,835.5,3130.2,4216.4
442.8,701.6,353.8,1457.5,3210.0,6014.2,1918.5,6653.5,599.4,462.8,1729.5
2458.4,1761.4,345.9,1683.6,636.8,3089.4,2424.3,852.4,1198.6,774.8,1719.6
3882.0,821.7,2706.0,1183.0,958.8,1659.7,789.8,1161.1,693.5,8706.1,1859.8
1033.0,2145.6,1652.7,1515.1,2955.2,3314.3,1182.8,1140.6,1450.9,286.7,538.0
5396.5,6741.1,1481.4,2867.6,2319.3,21228.6,4427.8,1632.2,841.8,500.1,2127.6
987.2,579.5,1077.9,761.1,6972.4,3660.3,1796.5,5907.4,1923.5,907.8,6115.0
2782.6,788.6,1552.7,897.4,598.1,3793.1,8329.3,590.6,2836.6,1074.4,1224.5
1125.6,905.8,1879.6,930.1,2244.8,1736.8,1493.4,874.8,1139.8,3308.7,2699.3
827.1,1957.6,3298.1,475.6,2792.5,1064.1,2854.0,981.8,426.7,491.7,1878.9
2225.6,877.0,3013.5,478.6,1714.9,686.2,1073.3,1877.9,908.4,1329.2,4044.2
1139.7,3528.2,732.3,2762.4,5728.8,250.3,955.7,2868.8,1537.0,2433.1,1115.2
1937.7,1596.3,4601.9,2216.2,2368.7,1300.5,1224.0,1279.2,2478.9,1291.1,2279.7
9512.1,3629.7,1393.0,4726.6,1304.5,354.1,807.2,404.8,1364.8,1834.9,6912.9
2348.5,1517.3,3510.5,308.3,2183.1,3349.9,554.0,4514.3,2370.4,1296.9,2999.6
11120.6,2091.2,2205.2,1252.0,916.1,3513.2,911.5,1914.6,1233.8,2652.3,2361.2
4146.6,1202.3,1456.9,826.3,1267.2,2445.1,3312.9,864.6,3625.3,5348.2,2516.8
8114.7,973.6,668.0,435.7,5983.9,3051.8,1729.4,2261.9,734.8,12792.3,2005.0
1973.4,3231.2,2656.6,2162.7,960.7,2636.4,8148.7,5304.6,6467.5,1201.1,819.2
1635.0,1890.5,4338.8,466.9,6146.5,1593.3,1285.0,804.6,481.1,3493.1,1917.3
644.2,641.6,1382.1,6872.0,1469.0,543.2,1485.3,1453.6,209.0,1731.2,1503.1
3155.7,7936.0,4452.6,1458.1,746.0,14167.2,1895.8,1828.3,1773.5,2118.5,1610.8
1142.6,1167.4,1761.3,1170.6,1022.2,1968.7,1474.4,6022.1,216.9,4329.5,4899.4
344.2,1374.5,1343.2,586.4,970.4,743.6,7345.3,3822.1,5000.3,3220.6,732.7
1188.4,2674.5,680.1,3198.4,1491.8,1339.6,3193.2,2579.7,1354.6,4570.9,761.4
2959.4,2905.8,1411.4,2347.0,664.5,3786.6,1559.4,1190.1,4184.8,1029.2,585.9
520.5,2936.0,649.1,7360.1,341.9,7024.5,2140.5,1673.4,1169.2,2488.2,1754.4
4370.5,1981.0,2039.1,1351.7,1727.5,2312.9,460.3,614.9,3276.8,2072.9,1560.6
1834.9,2387.7,1174.0,970.1,2114.7,826.6,2506.4,463.1,4118.8,2638.8,2219.0
3968.5,6852.6,4070.4,414.6,649.6,1096.8,1846.2,2735.7,1011.7,2099.4,988.0
1108.5,586.8,863.9,613.2,828.2,4200.3,846.0,14852.2,2682.9,2096.2,909.9
3166.1,1140.8,1993.4,14017.6,1674.3,4534.3,1030.1,1758.1,7455.0,1094.9,7707.6
3185.0,1152.9,2998.7,3936.5,2973.4,514.8,1010.6,1483.2,1703.5,2970.7,2084.2
621.2,2450.8,2946.8,2829.4,4292.5,3523.2,2610.6,1709.3,478.8,2549.6,2134.8
2246.8,651.1,761.4,4198.7,1751.7,3118.8,1849.5,1851.6,3830.0,1196.5,1952.6
1249.1,1277.2,1411.9,2159.7,1232.7,4937.5,883.9,1557.0,1271.8,5753.6,2115.9
4127.7,550.9,2238.7,3683.8,1931.1,4240.3,1195.3,5583.0,11374.4,1352.5,1266.0
5783.2,6397.5,1190.0,1291.9,1443.1,616.7,867.0,809.7,978.2,1758.6,2180.6
6250.4,813.5,3973.7,1523.6,1737.9,3102.2,736.4,2455.1,2065.6,2681.0,2278.6
12890.4,1085.5,1182.3,1098.3,1159.4,1085.8,4680.7,5633.0,1145.3,929.0,2636.3
1162.4,2999.9,2126.7,537.8,6235.4,7606.1,1107.4,1325.9,2272.6,2362.7,3062.0
9028.7,1569.4,954.7,599.8,1007.5,1760.8,7598.0,1195.0,2162.5,1784.4,4678.4
13650.7,1182.4,1222.2,4168.6,3119.8,7921.7,2884.6,1356.4,2900.2,4389.5,3485.6
2713.0,4244.3,4607.5,5462.9,3038.0,1581.8,2033.2,4746.7,940.5,2428.3,1319.9
1850.1,5027.9,2106.7,1876.5,609.2,3284.6,3030.2,10204.7,1413.4,2154.5,2207.3
6386.6,1675.3,2260.2,2940.4,2099.1,1265.0,2111.7,4268.0,795.4,2011.0,1032.7
4703.4,534.6,1156.2,2444.9,6326.0,1715.4,1159.6,8143.1,567.7,311.4,2570.9
1210.0,798.7,3186.5,2197.4,1151.4,649.2,3633.6,3041.7,1670.1,7921.3,768.1
533.6,1039.5,1743.3,2196.6,1490.7,2396.2,664.3,5738.8,1693.0,4419.7,2378.4
2605.6,2852.1,2586.8,3023.5,5236.0,2115.9,3188.2,1682.8,5722.1,1052.5,7636.9
1750.9,575.6,2003.2,1048.5,3542.2,1072.7,1265.3,398.8,1259.1,260.1,509.2
3322.0,3390.2,2541.1,834.2,1740.3,1802.8,715.7,6019.3,3647.8,1515.1,1847.4
2136.0,353.1,1483.6,1047.8,811.4,1443.9,7617.1,3019.0,1144.9,2858.5,5538.5
3788.4,1896.4,1077.6,3160.8,2477.0,3700.2,3005.3,4186.6,1178.3,5187.0,2117.7
9511.0,1041.7,7250.1,2118.2,1073.7,1227.7,1399.3,2538.5,2747.0,1142.6,1773.2
10034.8,7201.4,2563.3,1863.9,1990.3,2953.7,797.7,1471.6,475.9,2488.4,3034.4
1228.4,6368.9,678.2,560.3,2163.7,4178.4,6954.5,1252.5,4285.3,1753.2,1574.8
3666.3,3046.8,512.3,5891.3,5453.8,1096.1,2481.6,2684.4,2227.3,1164.2,1056.5
1771.5,4620.2,2793.0,1344.1,3352.2,185.1,4532.4,449.5,1353.0,738.2,641.8
4576.4,1243.7,2385.6,1741.4,2648.2,1922.6,647.8,4011.9,1218.0,520.5,1283.7
6006.6,3569.5,1368.0,1367.3,1397.9,9522.4,2454.2,2550.5,4122.5,2188.6,1469.6
1545.2,1707.4,1755.0,3236.0,1884.8,3249.0,1695.0,1925.4,365.6,3763.3,2385.6
4017.5,178.2,9611.3,1617.0,4387.6,786.9,2951.9,778.4,1097.7,8360.1,1552.2
2151.6,3626.6,2688.0,2039.2,2421.1,12366.3,1726.6,2123.6,4190.3,4378.3,4673.3
3013.9,724.6,6679.1,722.6,2303.3,988.9,1717.6,2352.0,2338.1,2534.0,6574.6
2598.9,1487.2,3909.9,4682.4,677.2,2915.9,3168.3,1425.0,5434.7,1603.5,1999.1
1574.3,1830.7,752.2,571.3,6474.4,918.2,818.0,322.9,1084.5,627.4,6725.2
4055.6,1042.6,10959.4,3965.6,1394.3,244.8,11302.2,594.9,484.8,4097.2,12731.1
5472.1,2838.8,2909.7,3578.6,3318.1,2264.1,1965.2,1719.7,989.1,1444.4,466.7
1671.3,819.9,747.8,2087.9,5506.0,3769.3,514.7,819.2,3837.7,823.9,1510.6
2807.5,833.2,1967.1,621.9,1117.6,2335.1,505.5,2571.8,1779.9,2813.0,2162.7
5384.7,1998.6,1282.4,1993.9,2792.3,1880.1,1867.7,1031.1,1063.9,588.7,7329.5
668.4,1038.6,1017.7,3699.5,1428.0,4905.9,1054.9,2260.2,926.8,10058.0,699.2
2316.6,3002.0,2517.5,1559.0,1629.7,1872.5,1607.4,3909.3,10598.0,1157.5,604.4
1684.8,14239.4,950.6,6709.6,6919.9,1161.1,2850.3,6652.3,1335.0,1536.3,1135.3
802.9,1075.5,679.2,1858.0,976.5,2179.9,520.8,2356.0,3522.1,366.9,2438.8
4827.7,687.0,6891.6,2528.1,1028.6,1729.1,2826.1,1921.4,2782.2,865.6,2070.4
583.5,1654.1,877.3,1003.8,4860.4,4328.8,2943.4,754.6,1403.7,4771.8,2025.1
11561.8,2476.6,2108.3,1411.9,2011.9,1600.4,3185.9,3886.9,964.1,623.3,416.1
2714.6,747.9,323.0,2467.3,13285.1,1799.3,3536.1,1930.4,1670.5,3771.6,1433.4
2239.3,2338.7,1059.5,3998.3,1571.9,987.7,2777.2,881.1,1849.3,1794.9,4310.1
2643.2,1772.2,3478.0,5498.1,2825.0,1823.1,633.0,771.2,1416.3,1110.3,1556.9
1891.9,2762.1,1708.9,2668.3,1903.7,372.3,852.8,1611.2,686.9,2921.8,6152.4
4793.5,1524.2,5958.5,2036.4,1380.7,1106.9,1419.4,1325.4,2072.1,2055.9,1812.5
2564.6,4686.9,3864.7,551.2,234.4,3817.9,605.8,1510.5,709.0,427.7,2788.3
3318.7,1140.0,227.5,1167.9,2473.6,553.8,2093.7,1786.0,2873.9,1989.6,830.1
4709.1,1592.7,1769.0,857.0,1268.2,890.8,1574.4,7110.8,603.3,497.3,5866.0
1529.3,1058.6,4154.4,1113.8,7791.6,3109.9,1223.7,10156.3,1113.7,3273.7,2297.2
5122.5,6305.7,1854.9,989.6,2612.3,1051.3,9051.7,2016.7,1349.8,2095.9,615.4
831.1,4723.6,1069.0,782.5,2777.5,4668.4,3213.7,4011.2,986.9,579.7,6009.3
1396.7,1479.3,5232.0,2821.4,2603.8,10219.0,1080.5,3798.2,1892.4,2241.4,6141.2
2714.2,2781.2,4264.2,1350.2,923.9,783.8,375.0,9367.2,748.0,1514.7,1448.9
2312.1,3472.4,3598.9,1134.0,1581.8,2266.7,1481.9,6541.2,2677.9,3254.9,3072.7
4622.9,2089.8,640.7,2489.3,1073.8,1184.5,2890.2,4868.9,1839.1,2314.8,7057.0
2192.1,14491.9,2842.4,442.0,3303.3,2452.7,5073.6,3098.1,1618.5,679.0,1529.6
915.6,1136.4,2895.4,6876.9,2479.3,694.6,2580.4,4709.4,1110.1,1624.2,1829.4
965.0,3037.0,1641.3,2529.1,888.9,1274.1,3222.5,1341.8,7198.1,1313.3,2164.1
3812.6,581.3,442.0,533.5,4964.5,1162.7,13996.5,1151.2,2095.7,6208.6,8999.1
9406.9,4753.8,4102.1,2904.5,3370.1,1163.3,939.6,1803.2,1577.9,1258.2,3156.2
3882.5,1940.5,5896.0,725.3,1548.5,1019.0,406.2,1692.3,1640.2,6067.9,2994.8
796.8,7968.7,4802.2,2880.4,1508.4,839.2,1342.4,4319.9,8165.5,6214.2,1222.8
738.3,2023.8,439.3,2341.5,1606.7,1245.3,504.8,2726.8,1180.7,709.1,181.7
1768.7,7463.7,6829.5,1254.3,1116.8,2630.7,813.5,2301.8,3337.1,4824.9,1668.8
1536.2,895.7,933.1,1508.4,2425.7,3755.1,950.9,5967.9,1455.5,1777.4,994.5
260.0,3667.4,3260.0,1443.7,1907.6,2731.9,518.0,1184.1,3413.2,662.9,2286.7
610.8,2625.8,1757.2,496.7,4590.7,1004.6,945.6,2122.7,4532.0,802.2,1899.5
2548.0,3147.9,2082.1,1348.0,932.6,1937.0,766.8,174.7,2563.8,3726.2,273.0
806.1,2967.0,9376.8,1838.4,1009.9,1561.9,5431.1,1078.4,954.0,1228.8,843.3
1994.5,6632.5,2341.3,1477.5,1431.6,517.7,3664.6,1698.9,1565.0,23259.9,2296.2
990.9,1285.5,4531.3,1979.5,572.1,3772.1,1059.4,8092.1,4290.0,1264.1,5038.2
1908.9,3576.8,2664.5,918.7,1080.5,4121.5,1383.2,1309.1,842.1,2537.4,9414.6
769.7,1843.4,5595.8,1696.4,2596.4,772.9,2546.9,1556.6,3978.2,4674.6,14352.1
2874.7,2346.4,2112.2,1363.0,2370.3,1427.5,2068.9,5187.9,808.2,4500.3,5185.9
1645.1,331.1,1111.8,5103.1,1775.3,812.9,1207.3,3542.2,2800.0,1493.5,1348.2
1321.6,864.4,6583.4,1397.1,4787.3,6106.2,4018.4,1280.1,2497.3,1773.4,877.5
2343.7,704.0,4675.7,1246.8,2123.7,2267.9,1469.8,2891.0,1236.5,3630.2,616.0
2000.4,8528.3,812.2,1051.3,2727.5,2087.4,2393.5,2674.1,3004.2,4393.0,2509.5
1490.7,3096.6,8266.0,1626.0,829.1,4383.8,1642.0,317.9,3561.5,1178.2,1681.7
2358.0,2105.7,3189.3,1276.2,2725.7,1469.0,3265.1,2958.1,855.5,4310.4,1177.6
3451.1,2425.6,7867.9,1512.1,1367.2,1780.2,1418.6,3428.8,496.2,778.3,769.5
3867.0,7104.5,1663.1,1579.6,1912.3,4580.2,861.0,2187.9,3944.8,2699.6,2104.1
4027.2,208.0,3109.8,1071.4,418.0,2721.6,5425.8,1619.8,3875.0,6567.1,5176.7
6714.1,3273.8,1920.5,501.9,1485.0,920.9,10267.7,1570.7,1995.3,2810.7,1872.2
7016.6,1098.7,2112.6,998.3,628.9,1108.3,1755.3,1282.5,1039.1,587.0,1691.7
542.5,3321.1,1931.3,563.4,1411.8,990.6,2334.0,5283.6,403.4,1982.3,1590.6
3093.5,2144.3,990.7,1400.7,956.4,4276.1,1839.1,8274.7,1722.4,1025.8,538.6
427.3,509.1,2238.8,2716.2,510.3,3699.8,1228.5,2033.3,6566.8,3705.1,1458.5
886.3,323.3,1017.1,1527.1,820.8,1627.8,1922.7,1510.4,1074.9,2069.2,2574.9
755.7,5590.1,1670.9,1835.5,3186.2,2178.9,3875.8,2274.9,1107.7,2414.4,724.2
1972.1,1760.6,1530.7,1631.4,401.2,1165.6,1947.4,2054.7,794.6,4976.9,904.2
3926.7,2544.7,1078.2,7481.9,695.8,3771.9,4025.7,1057.3,5508.1,1480.2,2277.8
2226.7,1623.8,3458.7,3411.1,446.4,5133.1,478.2,4130.0,4453.1,755.4,1301.6
746.5,1522.4,1413.1,3373.6,5157.7,5522.3,1153.2,1529.4,470.2,948.9,3912.3
